input_hgnc_id,symbol,ensembl_gene_id,ensembl_transcript_id,entrez_id,refseq_id,uniprot_id
HGNC:11998,TP53,ENSG00000141510,ENST00000269305,7157,NM_000546,P04637
HGNC:1100,BRCA1,ENSG00000012048,ENST00000357654,672,NM_007294,P38398
HGNC:1101,BRCA2,ENSG00000139618,ENST00000380152,675,NM_000059,P51587
HGNC:3236,EGFR,ENSG00000146648,ENST00000275493,1956,NM_005228,P00533
HGNC:7553,MYC,ENSG00000136997,ENST00000621592,4609,NM_001354870,P01106
HGNC:6407,KRAS,ENSG00000133703,ENST00000311936,3845,NM_033360,P01116
HGNC:8975,PIK3CA,ENSG00000121879,ENST00000263967,5290,NM_006218,P42336
HGNC:583,APC,ENSG00000134982,ENST00000257430,324,NM_000038,P25054
HGNC:9588,PTEN,ENSG00000171862,ENST00000371953,5728,NM_000314,P60484
HGNC:9884,RB1,ENSG00000139687,ENST00000267163,5925,NM_000321,P06400
HGNC:12687,VHL,ENSG00000134086,ENST00000256474,7428,NM_000551,P40337
HGNC:7127,MLH1,ENSG00000076242,ENST00000231790,4292,NM_000249,P40692
HGNC:7325,MSH2,ENSG00000095002,ENST00000233146,4436,NM_000251,P43246
HGNC:795,ATM,ENSG00000149311,ENST00000675843,472,NM_000051,Q13315
HGNC:16627,CHEK2,ENSG00000183765,ENST00000404276,11200,NM_001005735,O96017
HGNC:26144,PALB2,ENSG00000083093,ENST00000261584,79728,NM_024675,Q86YC2
HGNC:1748,CDH1,ENSG00000039068,ENST00000261769,999,NM_004360,P12830
HGNC:11389,STK11,ENSG00000118046,ENST00000326873,6794,NM_000455,Q15831
HGNC:6840,MAP2K1,ENSG00000169032,ENST00000307102,5604,NM_001411065,Q02750
HGNC:2552,CUL2,ENSG00000108094,ENST00000374749,8453,NM_003591,Q13617
HGNC:7765,NF1,ENSG00000196712,ENST00000358273,4763,NM_000267,P21359
HGNC:7773,NF2,ENSG00000186575,ENST00000338641,4771,NM_000268,P35240
HGNC:11802,TIA1,ENSG00000116001,ENST00000433529,7072,NM_022037,P31483
HGNC:11803,,,,,,
HGNC:1787,CDKN2A,ENSG00000147889,ENST00000304494,1029,NM_000077,P42771
HGNC:6973,MDM2,ENSG00000135679,ENST00000258149,4193,NM_002392,Q00987
HGNC:3430,ERBB2,ENSG00000141736,ENST00000269571,2064,NM_004448,P04626
HGNC:427,ALK,ENSG00000171094,ENST00000389048,238,NM_004304,Q9UM73
HGNC:9967,RET,ENSG00000165731,ENST00000355710,5979,NM_020975,P07949
HGNC:6992,,,,,,
HGNC:3688,FGFR1,ENSG00000077782,ENST00000447712,2260,NM_001174063,P11362
HGNC:3689,FGFR2,ENSG00000066468,ENST00000358487,2263,NM_022976,P21802
HGNC:3690,FGFR3,ENSG00000068078,ENST00000440486,2261,NM_000142,P22607
HGNC:8803,PDGFRA,ENSG00000134853,ENST00000257290,5156,NM_006206,P16234
HGNC:6342,KIT,ENSG00000157404,ENST00000288135,3815,NM_000222,P10721
HGNC:3765,FLT3,ENSG00000122025,ENST00000241453,2322,NM_004119,P36888
HGNC:5173,HRAS,ENSG00000174775,ENST00000311189,3265,NM_176795,P01112
HGNC:7881,NOTCH1,ENSG00000148400,ENST00000651671,4851,NM_017617,P46531
