input_symbol,ensembl_gene_id,ensembl_transcript_id,entrez_id,hgnc_id,refseq_id,uniprot_id,mapping_success,mapped_types_count,mapping_completeness_percent
TP53,ENSG00000141510,ENST00000269305,7157,HGNC:11998,NM_000546,P04637,True,6,100.0
BRCA1,ENSG00000012048,ENST00000357654,672,HGNC:1100,NM_007294,P38398,True,6,100.0
BRCA2,ENSG00000139618,ENST00000380152,675,HGNC:1101,NM_000059,P51587,True,6,100.0
EGFR,ENSG00000146648,ENST00000275493,1956,HGNC:3236,NM_005228,P00533,True,6,100.0
MYC,ENSG00000136997,ENST00000621592,4609,HGNC:7553,NM_001354870,P01106,True,6,100.0
KRAS,ENSG00000133703,ENST00000311936,3845,HGNC:6407,NM_033360,P01116,True,6,100.0
PIK3CA,ENSG00000121879,ENST00000263967,5290,HGNC:8975,NM_006218,P42336,True,6,100.0
APC,ENSG00000134982,ENST00000257430,324,HGNC:583,NM_000038,P25054,True,6,100.0
PTEN,ENSG00000171862,ENST00000371953,5728,HGNC:9588,NM_000314,P60484,True,6,100.0
RB1,ENSG00000139687,ENST00000267163,5925,HGNC:9884,NM_000321,P06400,True,6,100.0
VHL,ENSG00000134086,ENST00000256474,7428,HGNC:12687,NM_000551,P40337,True,6,100.0
MLH1,ENSG00000076242,ENST00000231790,4292,HGNC:7127,NM_000249,P40692,True,6,100.0
MSH2,ENSG00000095002,ENST00000233146,4436,HGNC:7325,NM_000251,P43246,True,6,100.0
ATM,ENSG00000149311,ENST00000675843,472,HGNC:795,NM_000051,Q13315,True,6,100.0
CHEK2,ENSG00000183765,ENST00000404276,11200,HGNC:16627,NM_001005735,O96017,True,6,100.0
PALB2,ENSG00000083093,ENST00000261584,79728,HGNC:26144,NM_024675,Q86YC2,True,6,100.0
CDH1,ENSG00000039068,ENST00000261769,999,HGNC:1748,NM_004360,P12830,True,6,100.0
STK11,ENSG00000118046,ENST00000326873,6794,HGNC:11389,NM_000455,Q15831,True,6,100.0
SMAD4,ENSG00000141646,ENST00000342988,4089,HGNC:6770,NM_005359,Q13485,True,6,100.0
DCC,ENSG00000187323,ENST00000442544,1630,HGNC:2701,NM_005215,P43146,True,6,100.0
NF1,ENSG00000196712,ENST00000358273,4763,HGNC:7765,NM_000267,P21359,True,6,100.0
NF2,ENSG00000186575,ENST00000338641,4771,HGNC:7773,NM_000268,P35240,True,6,100.0
TSC1,ENSG00000165699,ENST00000298552,7248,HGNC:12362,NM_000368,Q92574,True,6,100.0
TSC2,ENSG00000103197,ENST00000219476,7249,HGNC:12363,NM_000548,P49815,True,6,100.0
CDKN2A,ENSG00000147889,ENST00000304494,1029,HGNC:1787,NM_000077,P42771,True,6,100.0
MDM2,ENSG00000135679,ENST00000258149,4193,HGNC:6973,NM_002392,Q00987,True,6,100.0
ERBB2,ENSG00000141736,ENST00000269571,2064,HGNC:3430,NM_004448,P04626,True,6,100.0
