input_uniprot_id,symbol,ensembl_gene_id,ensembl_transcript_id,entrez_id,hgnc_id,refseq_id,mapping_success,mapped_types_count,mapping_completeness_percent
P04637,TP53,ENSG00000141510,ENSG00000141510,7157,HGNC:11998,NP_000537.3,True,6,100.0
P38398,BRCA1,ENSG00000012048,ENSG00000012048,672,HGNC:1100,NP_001394512.1,True,6,100.0
P51587,BRCA2,ENSG00000139618,ENSG00000139618,675,HGNC:1101,NP_000050.3,True,6,100.0
P00533,EGFR,ENSG00000146648,ENSG00000146648,1956,HGNC:3236,NP_005219.2,True,6,100.0
P01106,MYC,ENSG00000136997,ENSG00000136997,4609,HGNC:7553,NP_001341799.1,True,6,100.0
P01116,KRAS,ENSG00000133703,ENSG00000133703,3845,HGNC:6407,NP_001356715.1,True,6,100.0
P42336,PIK3CA,ENSG00000121879,ENSG00000121879,5290,HGNC:8975,NP_006209.2,True,6,100.0
P25054,APC,ENSG00000134982,ENSG00000134982,324,HGNC:583,NP_000029.2,True,6,100.0
P60484,PTEN,ENSG00000171862,ENSG00000171862,5728,HGNC:9588,NP_000305.3,True,6,100.0
P06400,RB1,ENSG00000139687,ENSG00000139687,5925,HGNC:9884,NP_000312.2,True,6,100.0
P40337,VHL,ENSG00000134086,ENSG00000134086,7428,HGNC:12687,NP_000542.1,True,6,100.0
P40692,MLH1,ENSG00000076242,ENSG00000076242,4292,HGNC:7127,NP_000240.1,True,6,100.0
P43246,MSH2,ENSG00000095002,ENSG00000095002,4436,HGNC:7325,NP_000242.1,True,6,100.0
Q13315,ATM,ENSG00000149311,ENSG00000149311,472,HGNC:795,NP_000042.3,True,6,100.0
O96017,CHEK2,ENSG00000183765,ENSG00000183765,11200,HGNC:16627,NP_001005735.1,True,6,100.0
Q86YC2,PALB2,ENSG00000083093,ENSG00000083093,79728,HGNC:26144,NP_078951.2,True,6,100.0
P12830,CDH1,ENSG00000039068,ENSG00000039068,999,HGNC:1748,NP_001304113.1,True,6,100.0
Q15831,STK11,ENSG00000118046,ENSG00000118046,6794,HGNC:11389,NP_000446.1,True,6,100.0
Q13485,SMAD4,ENSG00000141646,ENSG00000141646,4089,HGNC:6770,NP_001393970.1,True,6,100.0
P27487,DPP4,ENSG00000197635,ENSG00000197635,1803,HGNC:3009,NP_001926.2,True,6,100.0
P21359,NF1,ENSG00000196712,ENSG00000196712,4763,HGNC:7765,NP_000258.1,True,6,100.0
P35240,NF2,ENSG00000186575,ENSG00000186575,4771,HGNC:7773,NP_000259.1,True,6,100.0
Q03001,DST,ENSG00000151914,ENSG00000151914,667,HGNC:1090,NP_001138241.1,True,6,100.0
Q03013,GSTM4,ENSG00000168765,ENSG00000168765,2948,HGNC:4636,NP_000841.1,True,6,100.0
P42771,CDKN2A,ENSG00000147889,ENSG00000147889,1029,HGNC:1787,NP_000068.1,True,6,100.0
P53539,FOSB,ENSG00000125740,ENSG00000125740,2354,HGNC:3797,NP_001107643.1,True,6,100.0
P04626,ERBB2,ENSG00000141736,ENSG00000141736,2064,HGNC:3430,NP_001005862.1,True,6,100.0
Q9UM73,ALK,ENSG00000171094,ENSG00000171094,238,HGNC:427,NP_004295.2,True,6,100.0
P07949,RET,ENSG00000165731,ENSG00000165731,5979,HGNC:9967,NP_001393672.1,True,6,100.0
P08581,MET,ENSG00000105976,ENSG00000105976,4233,HGNC:7029,NP_000236.2,True,6,100.0
P21802,FGFR2,ENSG00000066468,ENSG00000066468,2263,HGNC:3689,NP_000132.3,True,6,100.0
P11362,FGFR1,ENSG00000077782,ENSG00000077782,2260,HGNC:3688,NP_001167534.1,True,6,100.0
P22607,FGFR3,ENSG00000068078,ENSG00000068078,2261,HGNC:3690,NP_000133.1,True,6,100.0
P16234,PDGFRA,ENSG00000134853,ENSG00000134853,5156,HGNC:8803,NP_001334758.1,True,6,100.0
P10721,KIT,ENSG00000157404,ENSG00000157404,3815,HGNC:6342,NP_000213.1,True,6,100.0
